"domaine","code_specialite","nom_specialite","universite","institution","baccalaureat","score_2023","score_2024","score_2025"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","22532","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ - ﺗﻜﻨﻮﻟﻮﺟﻴﺎ","ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﻨﺎﺑﻞ","ﺍﻟﻌﻠﻮﻡ ﺍﻟﺘﻘﻨﻴﺔ","160.7517","158.9717","153.12"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30519","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ-ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻟﺘﻄﺒﻴﻘﻴﺔ ﻭ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺴﻮﺳﺔ","ﺭﻳﺎﺿﻴﺎﺕ","182.1433","183.4083","173.96"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30519","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ-ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻟﺘﻄﺒﻴﻘﻴﺔ ﻭ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺴﻮﺳﺔ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","175.065","169.8117","171.93"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30519","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ-ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻟﺘﻄﺒﻴﻘﻴﺔ ﻭ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺴﻮﺳﺔ","ﺍﻟﻌﻠﻮﻡ ﺍﻟﺘﻘﻨﻴﺔ","182.6517","181.0633","177.3267"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30519","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ-ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﻌﻠﻮﻡ ﺍﻟﺘﻄﺒﻴﻘﻴﺔ ﻭ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺴﻮﺳﺔ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","188.3083","189.7783","183.645"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﺪﺭﺳﺔ ﺍﻟﻌﻠﻴﺎ ﻟﻠﻌﻠﻮﻡ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺤﻤﺎﻡ ﺳﻮﺳﺔ","ﺭﻳﺎﺿﻴﺎﺕ","145.84","147.235","90.4951"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﺪﺭﺳﺔ ﺍﻟﻌﻠﻴﺎ ﻟﻠﻌﻠﻮﻡ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺤﻤﺎﻡ ﺳﻮﺳﺔ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","133.255","124.165","122.775"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","30522","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ","ﺟﺎﻣﻌﺔ ﺳﻮﺳﺔ","ﺍﻟﻤﺪﺭﺳﺔ ﺍﻟﻌﻠﻴﺎ ﻟﻠﻌﻠﻮﻡ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ ﺑﺤﻤﺎﻡ ﺳﻮﺳﺔ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","128.645","129.6","138.76"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","34518","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ","ﺟﺎﻣﻌﺔ ﺍﻟﻤﻨﺴﺘﻴﺮ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻺﻋﻼﻣﻴﺔ ﻭ ﺍﻟﺮﻳﺎﺿﻴﺎﺕ ﺑﺎﻟﻤﻨﺴﺘﻴﺮ","ﺭﻳﺎﺿﻴﺎﺕ","174.355","181.0017","171.345"
"ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ","34518","ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ","ﺟﺎﻣﻌﺔ ﺍﻟﻤﻨﺴﺘﻴﺮ","ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻺﻋﻼﻣﻴﺔ ﻭ ﺍﻟﺮﻳﺎﺿﻴﺎﺕ ﺑﺎﻟﻤﻨﺴﺘﻴﺮ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","173.4717","169.8467","171.62"
